Description:,"Celsius-based heating degree days with a base temperature of 15.5 C"
2022-12-30,6.5
2022-12-31,8.5
2023-01-01,10.9
2023-01-02,12.4
2023-01-03,4.5
2023-01-04,4.7
2023-01-05,5.7
2023-01-06,7.1
2023-01-07,7.6
2023-01-08,9.4
2023-01-09,10
2023-01-10,6.1
2023-01-11,8.6
2023-01-12,6.7
2023-01-13,8.1
2023-01-14,10
2023-01-15,12
2023-01-16,15.3
2023-01-17,16.6
2023-01-18,14.3
2023-01-19,14.6
2023-01-20,13.2
2023-01-21,8.6
2023-01-22,6.3
2023-01-23,6.2
2023-01-24,6.6
2023-01-25,8
2023-01-26,10.4
2023-01-27,12.3
2023-01-28,10.4
2023-01-29,8.7
2023-01-30,8.8
2023-01-31,8.3
2023-02-01,7.6
2023-02-02,6
2023-02-03,5.4
2023-02-04,7.9
2023-02-05,13.6
2023-02-06,10.4
2023-02-07,8.1
2023-02-08,8.9
2023-02-09,10.8
2023-02-10,7.2
2023-02-11,6.8
2023-02-12,7.5
2023-02-13,8.4
2023-02-14,5.5
2023-02-15,7.1
2023-02-16,5
2023-02-17,4.1
2023-02-18,5.3
2023-02-19,5.9
2023-02-20,4.8
2023-02-21,5.8
2023-02-22,10.5
2023-02-23,11.1
2023-02-24,8.7
2023-02-25,10.6
2023-02-26,9.8
2023-02-27,9.6
2023-02-28,9.8
2023-03-01,9.2
2023-03-02,9.8
2023-03-03,10.4
2023-03-04,11.6
2023-03-05,10.3
2023-03-06,11
2023-03-07,14.8
2023-03-08,12.5
2023-03-09,13.3
2023-03-10,14.6
2023-03-11,11.1
2023-03-12,5.3
2023-03-13,6.5
2023-03-14,12.8
2023-03-15,9.9
2023-03-16,3.7
2023-03-17,5.9
2023-03-18,7.3
2023-03-19,9.4
2023-03-20,3.5
2023-03-21,4.8
2023-03-22,6.6
2023-03-23,6.7
2023-03-24,6.6
2023-03-25,7.2
2023-03-26,8.3
2023-03-27,11.5
2023-03-28,4.9
2023-03-29,3.6
2023-03-30,4.4
2023-03-31,5.9
2023-04-01,6.6
2023-04-02,7.4
2023-04-03,7.5
2023-04-04,6.3
2023-04-05,3.9
2023-04-06,7.1
2023-04-07,8.3
2023-04-08,6.1
2023-04-09,5.1
2023-04-10,7.3
2023-04-11,9
2023-04-12,10.7
2023-04-13,8.7
2023-04-14,9
2023-04-15,7.7
2023-04-16,4.2
2023-04-17,4.6
2023-04-18,5.5
2023-04-19,6.1
2023-04-20,6.2
2023-04-21,5.8
2023-04-22,7.9
2023-04-23,7.7
2023-04-24,9.7
2023-04-25,9.4
2023-04-26,6.5
2023-04-27,5.7
2023-04-28,3.6
2023-04-29,2.8
2023-04-30,2.8
2023-05-01,3.4
2023-05-02,3.8
2023-05-03,3.7
2023-05-04,4.9
2023-05-05,2.3
2023-05-06,3.4
2023-05-07,1.6
2023-05-08,1.2
2023-05-09,3.1
2023-05-10,3.5
2023-05-11,4.5
2023-05-12,5.1
2023-05-13,5.1
2023-05-14,3.9
2023-05-15,6.4
2023-05-16,5.2
2023-05-17,3.8
2023-05-18,2.6
2023-05-19,3.1
2023-05-20,2.7
2023-05-21,2.8
2023-05-22,3.1
2023-05-23,3.9
2023-05-24,3.3
2023-05-25,2.4
2023-05-26,2.4
2023-05-27,2.4
2023-05-28,3
2023-05-29,2.6
2023-05-30,2.5
2023-05-31,3
2023-06-01,3
2023-06-02,3.2
2023-06-03,3
2023-06-04,2.2
2023-06-05,2
2023-06-06,2.7
2023-06-07,3.6
2023-06-08,3.3
2023-06-09,1.8
2023-06-10,1
2023-06-11,0.3
2023-06-12,0.4
2023-06-13,0
2023-06-14,0.4
2023-06-15,1.9
2023-06-16,1
2023-06-17,0.6
2023-06-18,0.2
2023-06-19,0.1
2023-06-20,0.3
2023-06-21,0.2
2023-06-22,1
2023-06-23,0
2023-06-24,0
2023-06-25,0.4
2023-06-26,1.1
2023-06-27,0.2
2023-06-28,0.3
2023-06-29,1.8
2023-06-30,0.9
2023-07-01,1.2
2023-07-02,2.4
2023-07-03,3.4
2023-07-04,2.7
2023-07-05,2.3
2023-07-06,1.1
2023-07-07,0
2023-07-08,0
2023-07-09,1.3
2023-07-10,0.8
2023-07-11,0.9
2023-07-12,1.3
2023-07-13,1.6
2023-07-14,1.1
2023-07-15,1.4
2023-07-16,1.8
2023-07-17,1.6
2023-07-18,1.6
2023-07-19,1.5
2023-07-20,2
2023-07-21,2.3
2023-07-22,0.8
2023-07-23,1
2023-07-24,2.2
2023-07-25,2.6
2023-07-26,1
2023-07-27,0
2023-07-28,0.5
2023-07-29,1.1
2023-07-30,0.9
2023-07-31,0.4
2023-08-01,1.1
2023-08-02,1.3
2023-08-03,1.4
2023-08-04,2.4
2023-08-05,2.7
2023-08-06,2.8
2023-08-07,2.2
2023-08-08,1.6
2023-08-09,0.4
2023-08-10,0.1
2023-08-11,0.1
2023-08-12,0
2023-08-13,0.6
2023-08-14,1.3
2023-08-15,1.2
2023-08-16,2.2
2023-08-17,1.3
2023-08-18,0.1
2023-08-19,0
2023-08-20,0.1
2023-08-21,0
2023-08-22,0.2
2023-08-23,0.8
2023-08-24,1.5
2023-08-25,1.8
2023-08-26,2
2023-08-27,2.1
2023-08-28,1.7
2023-08-29,1.5
2023-08-30,2.3
2023-08-31,1.7
2023-09-01,0.7
2023-09-02,1.4
2023-09-03,1
2023-09-04,2.2
2023-09-05,0.3
2023-09-06,0.8
2023-09-07,0
2023-09-08,0.3
2023-09-09,0
2023-09-10,0.2
2023-09-11,0.6
2023-09-12,3.3
2023-09-13,4.2
2023-09-14,1.5
2023-09-15,4.1
2023-09-16,3.4
2023-09-17,0.9
2023-09-18,2.6
2023-09-19,1.1
2023-09-20,1.6
2023-09-21,4.3
2023-09-22,5.1
2023-09-23,4.4
2023-09-24,0.4
2023-09-25,0.7
2023-09-26,1.5
2023-09-27,1.6
2023-09-28,2.1
2023-09-29,2.8
2023-09-30,3.2
2023-10-01,0.7
2023-10-02,3.4
2023-10-03,3.1
2023-10-04,2.1
2023-10-05,0.9
2023-10-06,0
2023-10-07,0.1
2023-10-08,1.3
2023-10-09,0.1
2023-10-10,0
2023-10-11,5.3
2023-10-12,7.3
2023-10-13,5.6
2023-10-14,8.9
2023-10-15,10.3
2023-10-16,8
2023-10-17,4.6
2023-10-18,3.3
2023-10-19,2
2023-10-20,3.7
2023-10-21,7.1
2023-10-22,7.3
2023-10-23,3
2023-10-24,5
2023-10-25,5.7
2023-10-26,4.4
2023-10-27,5.8
2023-10-28,4.3
2023-10-29,7.7
2023-10-30,7.8
2023-10-31,5.6
2023-11-01,6.2
2023-11-02,8.2
2023-11-03,7.9
2023-11-04,8
2023-11-05,7.7
2023-11-06,7.4
2023-11-07,7.1
2023-11-08,7.3
2023-11-09,9.1
2023-11-10,8.9
2023-11-11,10.5
2023-11-12,5.9
2023-11-13,4.6
2023-11-14,5.3
2023-11-15,8.2
2023-11-16,9.2
2023-11-17,7.9
2023-11-18,3.1
2023-11-19,4.9
2023-11-20,6.3
2023-11-21,8.8
2023-11-22,5.1
2023-11-23,4.7
2023-11-24,9.5
2023-11-25,12.4
2023-11-26,7.2
2023-11-27,9
2023-11-28,12
2023-11-29,13.5
2023-11-30,13.3
2023-12-01,15.2
2023-12-02,13.1
2023-12-03,13.2
2023-12-04,11.7
2023-12-05,11.5
2023-12-06,8.3
2023-12-07,5.5
2023-12-08,6.5
2023-12-09,6.2
2023-12-10,6.9
2023-12-11,7
2023-12-12,7.7
2023-12-13,9.6
2023-12-14,7.4
2023-12-15,5.9
2023-12-16,5.3
2023-12-17,4.2
2023-12-18,3.6
2023-12-19,8.5
2023-12-20,6.1
2023-12-21,5.1
2023-12-22,6
2023-12-23,5.1
2023-12-24,4.3
2023-12-25,7
2023-12-26,9.7
2023-12-27,6.6
2023-12-28,7.8
2023-12-29,10.4
2023-12-30,8.1
2023-12-31,8.7
2024-01-01,9
2024-01-02,7
2024-01-03,8.1
2024-01-04,9.8
2024-01-05,11.5
2024-01-06,13.3
2024-01-07,15.4
2024-01-08,11.8
2024-01-09,11.4
2024-01-10,10.3
2024-01-11,9.2
2024-01-12,11.9
2024-01-13,12.8
2024-01-14,13.1
2024-01-15,15.7
2024-01-16,13.7
2024-01-17,17.4
2024-01-18,16.8
2024-01-19,12.8
2024-01-20,7.1
2024-01-21,5.5
2024-01-22,9
2024-01-23,5.1
2024-01-24,7.8
2024-01-25,4.4
2024-01-26,9.5
2024-01-27,6.9
2024-01-28,4.9
2024-01-29,10.9
2024-01-30,12.2
2024-01-31,8.5
2024-02-01,9.3
2024-02-02,4.1
2024-02-03,6.3
2024-02-04,4.8
2024-02-05,5.1
2024-02-06,8.7
2024-02-07,12.9
2024-02-08,10.5
2024-02-09,9.7
2024-02-10,10.9
2024-02-11,10.5
2024-02-12,10.6
2024-02-13,8.9
2024-02-14,4.3
2024-02-15,4.3
2024-02-16,6.1
2024-02-17,5.1
2024-02-18,4.6
2024-02-19,6
2024-02-20,5.9
2024-02-21,5.2
2024-02-22,10.4
2024-02-23,11.4
2024-02-24,11.7
2024-02-25,9.9
2024-02-26,11.2
2024-02-27,8.4
2024-02-28,6.3
2024-02-29,10.1
2024-03-01,12.2
2024-03-02,12.2
2024-03-03,11
2024-03-04,10
2024-03-05,8.3
2024-03-06,8.5
2024-03-07,8
2024-03-08,9.3
2024-03-09,9
2024-03-10,8.3
2024-03-11,8.1
2024-03-12,4.7
2024-03-13,5.5
2024-03-14,4.4
2024-03-15,7.6
2024-03-16,7.8
2024-03-17,4.8
2024-03-18,5
2024-03-19,5.2
2024-03-20,7.9
2024-03-21,5.8
2024-03-22,8.4
2024-03-23,9.6
2024-03-24,8.6
2024-03-25,7.2
2024-03-26,8
2024-03-27,9.4
2024-03-28,10.5
2024-03-29,8.2
2024-03-30,7.3
2024-03-31,5.8
2024-04-01,7.9
2024-04-02,8.5
2024-04-03,6.6
2024-04-04,7.3
2024-04-05,2.9
2024-04-06,2.9
2024-04-07,5.5
2024-04-08,7.9
2024-04-09,7.8
2024-04-10,3.9
2024-04-11,1.6
2024-04-12,2.2
2024-04-13,4.1
2024-04-14,7.1
2024-04-15,8.3
2024-04-16,7.3
2024-04-17,9.8
2024-04-18,7.5
2024-04-19,5.8
2024-04-20,8.4
2024-04-21,6.8
2024-04-22,7.1
2024-04-23,6.3
2024-04-24,8.8
2024-04-25,9.1
2024-04-26,9.8
2024-04-27,10.4
2024-04-28,8.9
2024-04-29,5.1
2024-04-30,5.4
2024-05-01,5.5
2024-05-02,4.1
2024-05-03,3.9
2024-05-04,4.5
2024-05-05,3
2024-05-06,3.8
2024-05-07,3.5
2024-05-08,1.8
2024-05-09,1.8
2024-05-10,1.8
2024-05-11,2.3
2024-05-12,1.1
2024-05-13,3.8
2024-05-14,2.3
2024-05-15,2
2024-05-16,2.3
2024-05-17,1.5
2024-05-18,1.8
2024-05-19,2.8
2024-05-20,2.4
2024-05-21,1.8
2024-05-22,1.9
2024-05-23,4.6
2024-05-24,4.9
2024-05-25,2.9
2024-05-26,4
2024-05-27,3.3
2024-05-28,1.7
2024-05-29,2.2
2024-05-30,2.6
2024-05-31,2.9
2024-06-01,2.8
2024-06-02,3
2024-06-03,1
2024-06-04,2.9
2024-06-05,5.1
2024-06-06,4.7
2024-06-07,2.8
2024-06-08,2.9
2024-06-09,4.1
2024-06-10,4.7
2024-06-11,5
2024-06-12,5.3
2024-06-13,2.8
2024-06-14,2.8
2024-06-15,4
2024-06-16,3.2
2024-06-17,2.5
2024-06-18,3.9
2024-06-19,4.2
2024-06-20,1.6
2024-06-21,0.6
2024-06-22,1.8
2024-06-23,0.8
2024-06-24,0
2024-06-25,0.3
2024-06-26,1.2
2024-06-27,1.6
2024-06-28,1.9
2024-06-29,3
2024-06-30,3
2024-07-01,2.4
2024-07-02,2.5
2024-07-03,2
2024-07-04,2.7
2024-07-05,2.6
2024-07-06,2.9
2024-07-07,2.6
2024-07-08,2.5
2024-07-09,2.2
2024-07-10,2.5
2024-07-11,2.5
2024-07-12,2.7
2024-07-13,1.6
2024-07-14,1.2
2024-07-15,1.9
2024-07-16,0.8
2024-07-17,0.7
2024-07-18,0.2
2024-07-19,0
2024-07-20,0.9
2024-07-21,1.9
2024-07-22,0.2
2024-07-23,0.6
2024-07-24,0.5
2024-07-25,0.3
2024-07-26,1.4
2024-07-27,1.1
2024-07-28,1.3
2024-07-29,0.6
2024-07-30,0.6
2024-07-31,1.7
2024-08-01,0.5
2024-08-02,0.2
2024-08-03,1.6
2024-08-04,0.7
2024-08-05,0.1
2024-08-06,1.5
2024-08-07,0.8
2024-08-08,0.4
2024-08-09,0.4
2024-08-10,0.3
2024-08-11,1.3
2024-08-12,0
2024-08-13,0.6
2024-08-14,2.4
2024-08-15,0.3
2024-08-16,1.6
2024-08-17,0.9
2024-08-18,1.2
2024-08-19,1
2024-08-20,1.8
2024-08-21,1.6
2024-08-22,1.3
2024-08-23,2.4
2024-08-24,3
2024-08-25,2.2
2024-08-26,0.6
2024-08-27,0
2024-08-28,0.6
2024-08-29,1.6
2024-08-30,4
2024-08-31,2.7
2024-09-01,1
2024-09-02,1.2
2024-09-03,3.4
2024-09-04,4.3
2024-09-05,1.8
2024-09-06,0.2
2024-09-07,0.7
2024-09-08,2.1
2024-09-09,2.4
2024-09-10,3
2024-09-11,5.8
2024-09-12,6.5
2024-09-13,5.8
2024-09-14,0.7
2024-09-15,1.6
2024-09-16,2.7
2024-09-17,3.4
2024-09-18,3.4
2024-09-19,3.2
2024-09-20,2
2024-09-21,0.8
2024-09-22,1.6
2024-09-23,2.8
2024-09-24,4.6
2024-09-25,7.5
2024-09-26,4.4
2024-09-27,7.1
2024-09-28,6.5
2024-09-29,4.5
2024-09-30,5
2024-10-01,4
2024-10-02,3
2024-10-03,3.9
2024-10-04,1.7
2024-10-05,1.6
2024-10-06,2.5
2024-10-07,2.1
2024-10-08,2.8
2024-10-09,4.5
2024-10-10,9
2024-10-11,8.8
2024-10-12,8.5
2024-10-13,8.6
2024-10-14,5.7
2024-10-15,2.4
2024-10-16,1.2
2024-10-17,2.7
2024-10-18,3.1
2024-10-19,3.6
2024-10-20,2.1
2024-10-21,3.7
2024-10-22,4.1
2024-10-23,4.5
2024-10-24,1.6
2024-10-25,3.1
2024-10-26,5.9
2024-10-27,6.8
2024-10-28,2.1
2024-10-29,4.7
2024-10-30,4.5
2024-10-31,5.1
2024-11-01,4.2
2024-11-02,4.7
2024-11-03,4
2024-11-04,4.1
2024-11-05,3.5
2024-11-06,1.3
2024-11-07,2.1
2024-11-08,3.9
2024-11-09,4.5
2024-11-10,4.6
2024-11-11,9.7
2024-11-12,11.5
2024-11-13,10.7
2024-11-14,3.9
2024-11-15,4.1
2024-11-16,6.9
2024-11-17,8.3
2024-11-18,11.4
2024-11-19,12.7
2024-11-20,14.9
2024-11-21,14.4
2024-11-22,13.7
2024-11-23,3.4
2024-11-24,5.3
2024-11-25,9.4
2024-11-26,12.7
2024-11-27,14.6
2024-11-28,9.4
2024-11-29,3.2
2024-11-30,1.8
2024-12-01,4.3
2024-12-02,11.2
2024-12-03,12.3
2024-12-04,7.1
2024-12-05,6.8
2024-12-06,8.1
2024-12-07,9.6
2024-12-08,10.4
2024-12-09,10.2
2024-12-10,10.2
2024-12-11,10.1
2024-12-12,10.9
2024-12-13,10.9
2024-12-14,10.2
2024-12-15,4.7
2024-12-16,6.3
2024-12-17,4.3
2024-12-18,6.1
2024-12-19,11.9
2024-12-20,8.8
2024-12-21,7.9
2024-12-22,12
2024-12-23,7.9
2024-12-24,4
2024-12-25,5.2
2024-12-26,7.3
2024-12-27,7.1
2024-12-28,6.7
2024-12-29,6.8
2024-12-30,6.6
2024-12-31,6
2025-01-01,10.8
2025-01-02,15.7
2025-01-03,15
2025-01-04,13.8
2025-01-05,12.9
2025-01-06,14.3
2025-01-07,14.5
2025-01-08,18.1
2025-01-09,17.2
2025-01-10,13.5
2025-01-11,9.6
2025-01-12,11.1
2025-01-13,4
2025-01-14,4.1
2025-01-15,8.1
2025-01-16,8.6
2025-01-17,6.9
2025-01-18,10.4
2025-01-19,9.3
2025-01-20,7.4
2025-01-21,9.2
2025-01-22,10.3
2025-01-23,9.9
2025-01-24,9.5
2025-01-25,12.4
2025-01-26,10.1
2025-01-27,8.4
2025-01-28,9.4
2025-01-29,12.2
2025-01-30,12.2
2025-01-31,10.6
2025-02-01,9.7
2025-02-02,8.6
2025-02-03,5.8
2025-02-04,7.1
2025-02-05,10.8
2025-02-06,13.4
2025-02-07,11.8
2025-02-08,11.9
2025-02-09,9.7
2025-02-10,10.6
2025-02-11,10.7
2025-02-12,10
2025-02-13,10.7
2025-02-14,10.9
2025-02-15,9.8
2025-02-16,9.3
2025-02-17,10.3
2025-02-18,9.1
2025-02-19,6.2
2025-02-20,3.2
2025-02-21,4.2
2025-02-22,6.4
2025-02-23,4.5
2025-02-24,7.3
2025-02-25,9.9
2025-02-26,10.2
2025-02-27,11.2
2025-02-28,9.8
2025-03-01,8.8
2025-03-02,7.2
2025-03-03,6.4
2025-03-04,8.7
2025-03-05,6.7
2025-03-06,5.8
2025-03-07,6.4
2025-03-08,5.3
2025-03-09,6.8
2025-03-10,7.8
2025-03-11,10.3
2025-03-12,10.8
2025-03-13,12.1
2025-03-14,11.3
2025-03-15,12.1
2025-03-16,9.1
2025-03-17,8.9
2025-03-18,10.2
2025-03-19,9.9
2025-03-20,5.7
2025-03-21,4.8
2025-03-22,5.9
2025-03-23,7.8
2025-03-24,7.5
2025-03-25,6.2
2025-03-26,4.9
2025-03-27,4.4
2025-03-28,8.7
2025-03-29,7
2025-03-30,4.3
2025-03-31,2.9
2025-04-01,6.1
2025-04-02,5.8
2025-04-03,5.7
2025-04-04,4.6
2025-04-05,6.7
2025-04-06,7.1
2025-04-07,7.9
2025-04-08,8
2025-04-09,7.9
2025-04-10,6.3
2025-04-11,4.5
2025-04-12,6.4
2025-04-13,8.3
2025-04-14,6
2025-04-15,7.5
2025-04-16,9.5
2025-04-17,8.1
2025-04-18,7.1
2025-04-19,6.2
